name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
auth_users_exposed,Exposed Auth Users,ERROR,EXTERNAL,"[""SECURITY""]","Detects if auth.users is exposed to anon or authenticated roles via a view or materialized view in schemas exposed to PostgREST, potentially compromising user data security.","View/Materialized View ""user_admin_view"" in the public schema may expose \`auth.users\` data to anon or authenticated roles.",https://supabase.com/docs/guides/database/database-linter?lint=0002_auth_users_exposed,"{""name"":""user_admin_view"",""type"":""view"",""schema"":""public"",""exposed_to"":[""anon""]}",auth_users_exposed_public_user_admin_view
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.admin_users\` has RLS policies but RLS is not enabled on the table. Policies include {""Admins can add new admin users"",""Admins can see all admin users"",""Admins can view admin users"",""Allow all authenticated read"",""Allow all authenticated users to read admin_users"",""Users can check their own admin status""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""admin_users"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_admin_users
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.alerts\` has RLS policies but RLS is not enabled on the table. Policies include {""Users can update alerts for their own robots"",""Users can view alerts for their own robots""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""alerts"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_alerts
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.plan_limits\` has RLS policies but RLS is not enabled on the table. Policies include {""Anyone can read plan limits""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""plan_limits"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_plan_limits
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.profiles\` has RLS policies but RLS is not enabled on the table. Policies include {""Admins can view all profiles"",""Users and admins can select profiles"",""Users can select their own profile"",""Users can update their own profile"",""Users can view their own profile""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""profiles"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_profiles
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.robots\` has RLS policies but RLS is not enabled on the table. Policies include {""Users can create their own robots"",""Users can delete their own robots"",""Users can update their own robots"",""Users can view their own robots""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""robots"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_robots
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.subscriptions\` has RLS policies but RLS is not enabled on the table. Policies include {""Service role can insert subscriptions"",""Service role can update subscriptions"",""Users can view their own subscriptions""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""subscriptions"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_subscriptions
policy_exists_rls_disabled,Policy Exists RLS Disabled,ERROR,EXTERNAL,"[""SECURITY""]","Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.","Table \`public.telemetry\` has RLS policies but RLS is not enabled on the table. Policies include {""Users can insert telemetry for their own robots"",""Users can view telemetry for their own robots""}.",https://supabase.com/docs/guides/database/database-linter?lint=0007_policy_exists_rls_disabled,"{""name"":""telemetry"",""type"":""table"",""schema"":""public""}",policy_exists_rls_disabled_public_telemetry
security_definer_view,Security Definer View,ERROR,EXTERNAL,"[""SECURITY""]","Detects views defined with the SECURITY DEFINER property. These views enforce Postgres permissions and row level security policies (RLS) of the view creator, rather than that of the querying user",View \`public.user_admin_view\` is defined with the SECURITY DEFINER property,https://supabase.com/docs/guides/database/database-linter?lint=0010_security_definer_view,"{""name"":""user_admin_view"",""type"":""view"",""schema"":""public""}",security_definer_view_public_user_admin_view
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.profiles\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""profiles"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_profiles
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.alerts\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""alerts"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_alerts
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.robots\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""robots"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_robots
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.telemetry\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""telemetry"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_telemetry
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.subscriptions\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""subscriptions"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_subscriptions
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.admin_users\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""admin_users"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_admin_users
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.plan_limits\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""plan_limits"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_plan_limits